# {"t_start": 1549632410.996425, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,909,6.348704
-21.0,823,10.878865
-21.0,824,15.364701
-21.0,824,19.893134
-21.0,878,24.756742
-21.0,882,29.630457
-21.0,823,34.158356
-19.0,1008,39.750973
-18.0,1095,45.844459
-21.0,884,50.765203
-21.0,819,55.313963
-20.0,957,60.651441
-21.0,884,65.572849
-21.0,821,70.099677
-21.0,818,74.676058
-21.0,882,79.57029
-21.0,884,84.36894
-21.0,819,88.876476
-20.0,946,94.092041
-20.0,930,99.197657
-21.0,822,103.695017
-21.0,823,108.199355
-21.0,824,112.700693
-21.0,884,117.570854
-21.0,837,122.185311
-21.0,819,126.656082
-21.0,818,131.175733
-21.0,823,135.68137
-20.0,1010,141.257998
-21.0,823,145.813907
-21.0,824,150.320873
-21.0,944,155.500419
-21.0,865,160.265633
-20.0,1008,165.780298
-21.0,821,170.339837
-20.0,920,175.423477
-21.0,824,179.961434
-21.0,824,184.437665
-21.0,820,188.932774
-21.0,879,193.826099
-21.0,911,198.818885
-21.0,904,203.818862
-21.0,824,208.312956
-20.0,1007,213.871871
-21.0,823,218.386679
-21.0,819,222.808782
-21.0,880,227.676343
-21.0,883,232.545766
-21.0,818,237.044398
-21.0,910,242.065183
-21.0,821,246.537679
-21.0,884,251.385082
-21.0,936,256.502558
-21.0,818,260.971236
-21.0,879,265.856188
-21.0,778,270.161573
-21.0,884,275.037862
-21.0,841,280.043801
-21.0,882,284.919974
-21.0,818,289.404393
-21.0,778,293.652882
-21.0,764,297.827859
-19.0,1004,303.409419
-21.0,824,307.895962
-21.0,762,312.040271
-21.0,879,316.824994
-21.0,822,321.330387
-21.0,824,325.814768
-21.0,823,330.312845
-21.0,824,334.845522
-21.0,824,339.351534
-21.0,820,343.869183
-21.0,822,348.380461
-21.0,884,353.219186
-19.0,1003,358.733239
-21.0,820,363.250385
-21.0,883,368.072071
-21.0,824,372.616905
-21.0,881,377.382424
-21.0,762,381.550895
-21.0,821,386.040367
-21.0,823,390.543001
-21.0,818,395.008606
-21.0,822,399.562056
-21.0,763,403.700253
-19.0,1005,409.209494
-21.0,879,414.086282
-21.0,787,418.447317
-19.0,1131,424.671771
-21.0,820,429.209118
-21.0,823,433.675203
-18.0,1198,440.229562
-20.0,954,445.498445
-21.0,884,450.34511
-20.0,952,455.556117
-21.0,818,460.027143
-21.0,823,464.570695
-21.0,820,469.042096
-21.0,822,473.564263
-21.0,882,478.406196
-21.0,777,482.704394
-21.0,823,487.204445
-21.0,880,492.032933
-21.0,759,496.224479
-19.0,1005,501.774898
-21.0,822,506.257071
-21.0,823,510.79437
-21.0,764,514.996804
-21.0,823,519.524736
-21.0,817,523.981546
-21.0,880,528.77547
-21.0,817,533.262153
-20.0,866,538.036114
-21.0,895,542.948637
-20.0,946,548.132317
-21.0,779,552.418535
-21.0,939,557.624084
-21.0,823,562.164357
-18.0,1109,568.240186
-21.0,820,572.762037
-21.0,911,577.826648
-21.0,880,582.806056
-21.0,821,587.360688
-21.0,818,591.852582
-21.0,821,596.270687
-21.0,881,601.099923
-17.0,1217,608.487972
-21.0,821,613.504818
-21.0,805,617.850744
-20.0,943,622.929094
-21.0,884,627.665433
-21.0,883,632.962611
-20.0,954,638.751465
-21.0,824,643.79402
-21.0,882,649.199111
-21.0,880,654.647944
-21.0,787,659.53221
-21.0,786,664.366131
-21.0,823,669.434429
-21.0,911,674.61767
-21.0,878,680.082906
-19.0,1058,686.62483
