# {"t_start": 1549290854.1318896, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,155,28.468107
3.0,230,33.738794
0.0,125,36.45918
0.0,125,39.192802
2.0,183,43.372961
0.0,129,46.146857
3.0,272,52.401006
2.0,202,57.100379
1.0,172,60.969194
1.0,153,64.295208
1.0,155,67.909697
1.0,155,71.648551
1.0,173,75.734003
0.0,129,78.449779
3.0,226,83.94882
0.0,129,86.903754
5.0,330,94.332937
2.0,223,99.753184
1.0,157,103.304107
3.0,276,109.861213
3.0,248,115.475534
5.0,352,123.349354
0.0,127,126.283195
1.0,176,130.242987
0.0,129,132.967089
0.0,129,135.862388
2.0,200,140.606843
1.0,153,143.88521
1.0,173,147.600702
1.0,155,150.892807
0.0,127,153.892147
4.0,297,160.807177
1.0,173,164.744227
0.0,127,167.532227
3.0,252,173.383392
0.0,127,176.208283
1.0,173,180.30885
0.0,125,183.134323
2.0,183,187.132001
0.0,127,189.795674
0.0,127,192.733782
1.0,157,196.436872
0.0,129,199.121239
0.0,129,201.842129
2.0,226,206.861323
3.0,250,212.738412
1.0,171,216.691278
0.0,129,219.559879
1.0,177,223.939254
1.0,156,227.531761
3.0,252,233.344437
0.0,129,236.383008
3.0,270,242.774199
0.0,127,245.234671
0.0,127,248.165993
3.0,248,253.976455
0.0,129,256.719801
1.0,157,260.193729
2.0,200,265.015266
1.0,173,268.828244
2.0,182,274.837371
2.0,219,284.185752
2.0,200,293.474394
0.0,129,298.785336
0.0,127,304.163771
1.0,173,311.175712
2.0,201,319.274984
1.0,155,325.649276
1.0,175,333.25475
2.0,205,341.929078
1.0,171,349.302142
2.0,220,358.414092
2.0,223,368.557604
1.0,171,375.563181
1.0,174,383.460622
2.0,222,393.408195
0.0,127,398.340917
1.0,156,404.898232
0.0,129,409.987316
0.0,129,415.005561
1.0,175,422.124457
1.0,155,428.016812
2.0,202,437.054902
0.0,129,442.273503
1.0,155,448.991496
2.0,200,457.900679
9.0,422,477.334788
2.0,202,486.029049
0.0,127,491.24673
7.0,322,505.927762
0.0,127,511.398119
5.0,372,528.469687
5.0,352,544.315741
0.0,129,549.894077
0.0,125,555.2079
1.0,176,562.866652
6.0,384,580.352495
2.0,222,590.246619
0.0,127,595.706623
2.0,202,604.549397
2.0,203,613.424165
0.0,129,619.082627
0.0,127,624.272372
6.0,379,641.540623
0.0,129,646.848481
1.0,155,653.641581
0.0,123,658.672047
1.0,156,665.307544
0.0,125,670.819435
5.0,327,685.561362
1.0,155,692.182621
0.0,127,696.948123
2.0,204,705.636646
2.0,204,714.48649
1.0,174,722.225411
3.0,250,733.726727
0.0,125,739.008012
0.0,127,744.715858
0.0,127,750.241102
1.0,172,757.690321
0.0,123,762.676207
2.0,202,771.81239
0.0,127,777.174666
0.0,129,782.529982
3.0,230,793.220292
0.0,129,798.705107
5.0,347,814.942526
9.0,424,834.375177
0.0,125,839.80499
0.0,129,845.267259
0.0,127,850.814574
1.0,173,858.473049
0.0,127,863.996251
1.0,173,871.558472
0.0,127,876.932158
3.0,253,887.469639
0.0,129,893.114344
0.0,129,898.84199
1.0,157,906.028793
1.0,157,912.817776
1.0,173,920.342804
0.0,129,925.74874
4.0,317,940.241601
1.0,173,947.704992
1.0,173,955.363762
1.0,157,962.21117
2.0,201,970.936933
4.0,260,982.715618
3.0,248,993.869887
1.0,155,1000.890544
1.0,153,1007.675047
1.0,159,1014.686536
2.0,224,1024.552882
0.0,127,1030.169791
0.0,127,1035.553659
1.0,175,1043.56502
0.0,129,1049.026705
1.0,173,1056.788572
0.0,129,1062.303083
2.0,220,1072.192438
0.0,123,1077.274381
0.0,127,1082.63982
0.0,125,1088.024615
1.0,170,1095.76625
4.0,299,1109.278352
2.0,203,1117.713455
2.0,222,1127.859411
0.0,125,1133.082436
2.0,219,1142.954426
0.0,129,1148.402073
0.0,127,1153.904451
0.0,127,1159.413298
0.0,129,1165.041572
0.0,129,1170.472655
0.0,127,1176.097412
0.0,129,1181.789203
3.0,268,1193.627309
0.0,129,1199.14116
0.0,125,1204.607339
0.0,127,1210.247303
3.0,250,1221.565682
2.0,226,1231.744719
0.0,129,1237.493479
0.0,127,1242.898967
0.0,129,1248.631491
2.0,202,1257.68912
2.0,202,1267.019994
0.0,127,1272.665347
2.0,222,1282.736061
1.0,152,1289.478371
0.0,129,1294.963185
4.0,282,1307.792229
3.0,273,1320.407562
1.0,173,1327.888667
1.0,173,1335.942774
2.0,199,1344.863263
1.0,173,1352.304241
1.0,155,1359.033174
1.0,174,1366.757361
0.0,129,1372.389441
1.0,155,1379.195542
0.0,127,1384.748297
0.0,129,1390.499136
4.0,270,1402.721086
5.0,348,1418.247994
0.0,125,1423.381476
1.0,157,1430.586859
1.0,175,1438.112474
1.0,175,1445.893704
0.0,129,1451.445095
2.0,202,1461.040275
4.0,262,1473.031865
1.0,172,1480.519676
2.0,220,1490.177481
0.0,127,1495.7832
2.0,224,1505.391349
0.0,127,1511.320254
1.0,171,1518.904506
4.0,298,1533.00615
2.0,186,1541.323823
1.0,157,1547.945915
0.0,129,1553.771998
0.0,125,1559.167535
5.0,326,1573.829832
0.0,129,1579.569724
0.0,127,1585.159007
2.0,217,1594.89217
2.0,204,1603.869811
1.0,157,1610.888901
0.0,127,1616.258166
1.0,175,1624.05124
1.0,172,1631.420094
2.0,224,1641.125567
1.0,155,1647.359262
4.0,300,1661.069355
1.0,173,1668.948528
1.0,174,1676.461625
0.0,129,1681.97543
0.0,125,1687.22571
3.0,271,1699.179559
0.0,127,1704.726083
0.0,127,1710.054595
0.0,129,1715.590728
2.0,222,1725.46628
1.0,175,1733.099562
4.0,260,1744.985198
1.0,176,1753.089342
0.0,129,1758.234616
0.0,127,1763.951162
1.0,174,1771.449224
0.0,123,1776.771
2.0,202,1785.648556
2.0,202,1794.592259
1.0,155,1801.172143
0.0,127,1806.985222
1.0,155,1813.573251
0.0,129,1818.806633
1.0,173,1825.985223
1.0,169,1833.55871
0.0,127,1838.933367
2.0,224,1849.226081
3.0,248,1860.431115
0.0,129,1865.896808
3.0,251,1877.071631
4.0,282,1889.750009
1.0,155,1896.50256
2.0,222,1906.458426
1.0,175,1913.952012
0.0,129,1919.790793
3.0,250,1930.65594
0.0,127,1935.98755
2.0,201,1944.838228
3.0,250,1956.40094
1.0,173,1963.972858
0.0,127,1969.736943
4.0,324,1984.40066
0.0,127,1989.900384
3.0,228,1999.737496
1.0,175,2007.365445
0.0,127,2012.752708
2.0,204,2021.979835
2.0,202,2031.149139
3.0,230,2040.928877
0.0,129,2046.578474
3.0,233,2057.216411
2.0,225,2067.009326
5.0,369,2084.012167
1.0,176,2091.82558
1.0,155,2098.882876
3.0,271,2111.441034
0.0,129,2117.034861
4.0,301,2130.997629
1.0,173,2138.377504
3.0,248,2149.587775
2.0,186,2157.505961
1.0,171,2165.333972
1.0,157,2172.130934
3.0,232,2182.592299
2.0,202,2191.651708
1.0,157,2198.379586
0.0,127,2204.051372
10.0,474,2225.759977
3.0,270,2237.813933
0.0,125,2243.243882
3.0,269,2255.429479
1.0,157,2262.320383
0.0,129,2267.798471
1.0,172,2275.734029
0.0,127,2281.280721
3.0,270,2293.190008
3.0,233,2303.927641
1.0,157,2310.210207
2.0,206,2319.618181
3.0,268,2331.902668
0.0,129,2337.293522
1.0,157,2344.209414
2.0,221,2353.96689
2.0,200,2362.959217
0.0,129,2368.030934
1.0,153,2375.08317
1.0,176,2382.955819
0.0,127,2388.511939
0.0,129,2393.929318
1.0,175,2402.075109
0.0,123,2407.093274
3.0,254,2419.073118
0.0,127,2424.23771
2.0,222,2434.416024
0.0,129,2440.08717
1.0,177,2447.937896
0.0,127,2453.419902
3.0,252,2464.659265
0.0,129,2470.4695
2.0,202,2479.055561
3.0,248,2490.646239
1.0,173,2498.297674
0.0,125,2503.446186
2.0,224,2513.882117
0.0,127,2519.106946
1.0,157,2526.320842
2.0,203,2535.283469
7.0,324,2550.399963
1.0,175,2558.24492
0.0,127,2563.114435
1.0,155,2570.040458
3.0,251,2581.160973
2.0,220,2590.8458
5.0,337,2606.283631
3.0,274,2618.779275
0.0,127,2624.169793
1.0,157,2631.059459
1.0,174,2638.638923
0.0,129,2644.235233
1.0,172,2651.989609
2.0,202,2660.814968
0.0,129,2666.79646
2.0,219,2676.570599
0.0,127,2682.061168
0.0,129,2687.190854
2.0,221,2697.327497
1.0,175,2704.779158
3.0,248,2715.872296
3.0,254,2727.640324
0.0,129,2733.006874
0.0,127,2738.71879
0.0,127,2744.08299
2.0,224,2754.426384
1.0,155,2761.032543
1.0,173,2768.925191
0.0,125,2774.382487
2.0,204,2783.357796
2.0,224,2793.711223
3.0,252,2804.95969
1.0,153,2811.105869
2.0,222,2821.079319
4.0,296,2834.930578
1.0,152,2841.582187
1.0,174,2849.120481
0.0,129,2854.843519
2.0,219,2864.542859
3.0,252,2876.138606
2.0,224,2885.882442
7.0,391,2903.680403
1.0,173,2911.286804
3.0,228,2921.514158
1.0,155,2928.41213
1.0,155,2935.146827
6.0,328,2950.139219
4.0,262,2961.936686
1.0,171,2969.755062
5.0,351,2985.756361
2.0,198,2994.215739
2.0,183,3002.309579
