# {"t_start": 1548872222.057447, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,789,15.271249
-21.0,764,29.37111
-21.0,791,44.787393
-21.0,817,56.490835
-21.0,786,61.034575
-21.0,761,65.469116
-21.0,789,70.05472
-21.0,761,74.428565
-21.0,788,79.043397
-21.0,758,83.482826
-21.0,815,88.168554
-21.0,764,92.491319
-21.0,757,96.792838
-21.0,761,101.01865
-21.0,759,105.024438
-21.0,786,108.675852
-20.0,839,112.567847
-21.0,762,116.094236
-21.0,788,119.753792
-21.0,757,123.290738
-21.0,760,126.838079
-21.0,785,130.502083
-21.0,790,134.700376
-21.0,759,138.726019
-21.0,787,142.906276
-21.0,758,146.945228
-21.0,777,151.09387
-21.0,790,155.307118
-21.0,785,159.489139
-21.0,759,163.533309
-21.0,787,167.713264
-21.0,762,171.760486
-21.0,763,175.815177
-21.0,787,179.987698
-21.0,761,184.031831
-21.0,789,188.21415
-21.0,762,192.26243
-21.0,757,196.2676
-21.0,790,200.449072
-21.0,762,204.504405
-21.0,764,208.544044
-21.0,787,212.723052
-21.0,789,216.90071
-21.0,762,220.929834
-21.0,787,225.092611
-21.0,764,229.131331
-21.0,791,233.345529
-21.0,764,237.40296
-20.0,840,241.863828
-21.0,759,245.8821
-21.0,758,249.904436
-21.0,757,253.893808
-21.0,786,258.040845
-21.0,762,262.067356
-21.0,764,266.104462
-21.0,760,270.128777
-21.0,757,274.148632
-21.0,785,278.297856
-21.0,788,282.467625
-21.0,785,286.612638
-21.0,789,290.794178
-21.0,758,294.789532
-21.0,761,298.819842
-21.0,764,302.86724
-21.0,762,306.898671
-21.0,786,311.072194
-21.0,790,315.254315
-21.0,763,319.287979
-21.0,762,323.328556
-21.0,762,327.485568
-21.0,786,331.666534
-21.0,764,335.72329
-21.0,785,339.881411
-21.0,762,343.918734
-21.0,761,347.954291
-21.0,787,352.103679
-21.0,760,356.134628
-21.0,761,360.150644
-21.0,762,364.180105
-21.0,791,368.368457
-21.0,762,372.397867
-21.0,758,376.399407
-21.0,764,380.439594
-21.0,790,384.612062
-21.0,789,388.788401
-21.0,759,392.8031
-21.0,761,396.821528
-21.0,758,400.835302
-21.0,786,404.987302
-21.0,789,409.173284
-21.0,759,413.266012
-20.0,837,417.681243
-21.0,791,421.880767
-21.0,759,425.897347
-21.0,760,429.92654
-21.0,762,433.942888
-21.0,788,438.097527
-21.0,790,442.262773
-21.0,788,446.491636
-21.0,758,450.507858
-21.0,761,454.53355
-21.0,785,458.813664
-21.0,759,462.943671
-21.0,816,467.023182
-21.0,787,470.673911
-21.0,789,474.33084
-21.0,786,477.975421
-21.0,787,481.655192
-21.0,757,485.189644
-21.0,759,488.731679
-21.0,763,492.272547
-21.0,785,495.924481
-21.0,792,499.6088
-21.0,789,503.286257
-21.0,761,506.828828
-21.0,761,510.372149
-21.0,788,514.046633
-21.0,786,518.037356
-21.0,785,522.228836
-21.0,791,526.42769
-21.0,764,530.479246
-21.0,762,534.518101
-20.0,841,539.019997
-21.0,757,543.09839
-21.0,763,547.148728
-21.0,761,551.179567
-21.0,786,555.354548
-21.0,760,559.36417
-21.0,792,563.549607
-21.0,761,567.566013
-21.0,759,571.59241
-21.0,760,575.612386
-21.0,790,579.286535
-21.0,785,582.939223
-21.0,763,586.484022
-21.0,760,590.013722
-21.0,785,593.662614
-21.0,790,597.331343
-21.0,785,600.997722
-21.0,762,604.557063
-21.0,760,608.098711
-21.0,789,611.785509
-21.0,785,615.459848
-21.0,762,619.012333
-21.0,789,622.693446
-21.0,759,626.237267
-21.0,791,629.916204
-21.0,790,633.598379
-21.0,791,637.289664
-21.0,758,640.82517
-21.0,759,644.375378
-21.0,760,647.959016
-21.0,764,651.510693
-21.0,761,655.057396
-21.0,787,658.722692
-21.0,788,662.395374
-21.0,757,665.930068
-21.0,787,669.586016
-21.0,791,673.261582
-21.0,786,676.911758
-21.0,787,680.570228
-21.0,789,684.371063
-21.0,790,688.56447
-21.0,764,692.633022
-21.0,787,696.914829
-21.0,787,701.078771
-21.0,787,705.251407
-21.0,763,709.292243
-21.0,790,713.467056
-21.0,760,717.489454
-21.0,763,721.548314
-21.0,764,725.601782
-21.0,762,729.640934
-21.0,789,733.808363
-21.0,786,737.966466
-21.0,763,741.998399
-21.0,764,746.058559
-21.0,791,750.240542
-21.0,759,754.282618
-21.0,758,758.444289
-21.0,791,762.996107
-21.0,758,767.028791
-21.0,762,771.060571
-20.0,839,775.475907
-21.0,787,779.613528
-21.0,791,783.763773
-21.0,787,787.881714
-21.0,763,791.879109
-21.0,758,795.842526
-21.0,790,799.983713
-21.0,791,804.122319
-21.0,758,808.086834
-21.0,792,812.24555
-21.0,759,815.984629
-21.0,763,819.500803
-21.0,763,823.004527
-21.0,759,826.631444
-21.0,790,830.750863
-21.0,777,834.842982
-21.0,790,838.9815
-21.0,820,843.277025
-21.0,787,847.392564
-21.0,761,851.361369
-21.0,788,855.455561
-21.0,762,859.42468
-21.0,777,863.465529
-21.0,790,867.583854
-21.0,757,871.534772
-21.0,760,875.512174
-21.0,758,879.4812
-21.0,785,883.569862
-21.0,759,887.53026
-21.0,762,891.495531
-21.0,787,895.589986
-21.0,790,899.729085
-21.0,790,903.864367
-21.0,823,908.175089
-21.0,789,912.288152
-21.0,762,916.255955
-21.0,790,920.378975
-21.0,762,924.359249
-21.0,760,928.320897
-21.0,764,932.30483
-21.0,791,936.441862
-21.0,785,940.542585
-21.0,786,944.640496
-21.0,760,948.600152
-21.0,761,952.563101
-21.0,758,956.513567
-21.0,815,960.788589
-21.0,758,964.728941
-21.0,789,968.83717
-21.0,764,972.797289
-21.0,758,976.73324
-21.0,785,980.551107
-21.0,786,984.377601
-21.0,758,988.317322
-21.0,764,992.29039
-21.0,813,996.528647
-21.0,759,1000.488788
-21.0,760,1004.438564
-21.0,788,1008.56087
-21.0,757,1012.57936
-21.0,762,1016.545853
-21.0,757,1020.497181
-21.0,785,1024.593152
-21.0,789,1028.735415
-21.0,788,1032.841475
-21.0,764,1036.814934
-21.0,788,1040.922664
-21.0,761,1044.886055
-21.0,759,1048.849194
-21.0,785,1052.955877
-21.0,787,1057.082376
-21.0,761,1061.050812
-21.0,788,1065.159482
-21.0,761,1069.129669
-21.0,758,1073.0921
-21.0,789,1077.195597
-21.0,788,1081.310575
-21.0,789,1085.419798
-21.0,762,1089.398467
-21.0,787,1093.499313
-21.0,760,1097.452517
-21.0,757,1101.399931
-21.0,760,1105.368615
-21.0,764,1109.354705
-21.0,762,1113.348242
-21.0,785,1117.437221
-21.0,761,1121.396875
-21.0,760,1125.353552
-21.0,759,1129.304788
-21.0,787,1133.39618
-21.0,758,1137.365176
-21.0,762,1141.364398
-21.0,758,1145.333463
-21.0,781,1149.41307
-21.0,790,1153.532175
-21.0,764,1157.502649
-21.0,788,1161.60629
-21.0,791,1165.716038
-21.0,788,1169.826776
-21.0,792,1173.95705
-21.0,787,1178.069525
-21.0,785,1182.152053
-21.0,762,1186.12265
-21.0,764,1190.100264
-21.0,789,1194.197501
-21.0,761,1198.147253
-21.0,785,1202.258627
-21.0,758,1206.213018
-21.0,761,1210.200198
-21.0,763,1214.181764
-21.0,762,1218.146308
-21.0,790,1222.260313
-21.0,785,1226.359682
-21.0,759,1230.336899
-21.0,760,1234.323233
-21.0,789,1238.456459
-21.0,761,1242.626365
-21.0,791,1246.751543
-21.0,789,1250.860867
-21.0,787,1254.969918
-21.0,761,1258.940145
-21.0,761,1262.910388
-21.0,791,1267.059156
-21.0,788,1271.167296
-21.0,760,1275.139945
-21.0,789,1279.249344
-21.0,759,1283.209742
-21.0,762,1287.176531
-21.0,764,1291.156766
-21.0,762,1295.132058
-21.0,758,1299.082349
-21.0,786,1303.182063
-21.0,787,1307.317919
-21.0,758,1311.273303
-21.0,791,1315.380658
-20.0,837,1319.739304
-21.0,760,1323.722262
-21.0,763,1327.705801
-21.0,786,1331.810755
-21.0,786,1335.912094
-21.0,760,1339.867872
-21.0,759,1343.832578
-21.0,764,1347.818934
-21.0,792,1351.952315
-21.0,764,1355.941897
-21.0,764,1359.932351
-21.0,758,1363.887538
-21.0,790,1368.012448
-21.0,790,1372.12943
-21.0,790,1376.250681
-21.0,786,1380.344073
-21.0,762,1384.328696
