# {"t_start": 1548777949.9553475, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,776,9.204001
-19.0,945,14.1616
-20.0,1005,19.540459
-20.0,957,24.599605
-20.0,1047,30.130037
-21.0,909,34.901846
-21.0,818,39.247045
-20.0,858,43.779648
-21.0,907,48.654893
-21.0,776,52.748599
-20.0,1018,58.098078
-21.0,1004,67.257748
-20.0,842,74.981746
-21.0,906,83.106947
-20.0,964,91.817565
-20.0,868,99.616729
-21.0,930,107.958945
-20.0,1024,117.284772
-20.0,1030,126.649849
-20.0,901,134.824816
-19.0,1037,144.128828
-19.0,1011,153.263259
-21.0,911,161.403268
-20.0,1164,171.743148
-20.0,979,180.509747
-21.0,846,188.10296
-20.0,895,196.095006
-20.0,989,204.847911
-20.0,852,212.505014
-19.0,930,220.816301
-20.0,1198,231.608068
-20.0,864,239.343406
-18.0,1059,248.891164
-21.0,795,256.102081
-20.0,1042,265.461634
-20.0,896,273.432223
-20.0,1030,282.655879
-21.0,819,290.096054
-20.0,865,297.916554
-18.0,1183,308.685978
-20.0,1010,317.873987
-20.0,989,326.759629
-20.0,832,334.342176
-19.0,1040,343.67235
-20.0,943,352.017487
-20.0,987,360.820697
-21.0,818,368.19702
-21.0,849,375.854938
-21.0,869,383.738482
-21.0,1059,393.322001
-17.0,1158,403.830306
-21.0,894,411.872398
-21.0,850,419.494405
-20.0,947,427.955257
-21.0,820,435.27343
-21.0,959,443.758923
-21.0,988,452.549099
-21.0,882,460.432093
-20.0,877,468.17358
-21.0,826,475.4742
-20.0,1042,484.64696
-20.0,870,492.452142
-21.0,852,500.043354
-21.0,821,507.297678
-21.0,880,515.077397
-20.0,977,523.689042
-21.0,1000,532.495628
-21.0,873,540.195597
-20.0,935,548.386371
-21.0,879,556.243953
-21.0,875,564.08162
-20.0,922,572.323731
-21.0,1020,581.577671
-21.0,880,589.42337
-21.0,998,598.375099
-21.0,939,606.798867
-21.0,1041,616.141871
-20.0,865,623.974555
-21.0,1001,632.907976
-19.0,1119,642.982545
-18.0,1274,654.408832
-16.0,1345,666.511235
-20.0,996,675.530282
-21.0,841,683.158949
-20.0,961,691.825249
-20.0,982,700.637743
-21.0,1054,710.185529
-20.0,1037,719.508422
-21.0,925,727.779859
-21.0,818,735.131015
-21.0,882,743.01914
-21.0,763,749.814149
-20.0,957,758.443881
-20.0,933,766.948406
-21.0,917,775.260241
-21.0,804,782.539273
-20.0,915,790.759017
-21.0,1049,800.139914
-20.0,911,808.353334
-21.0,864,816.105116
-21.0,762,822.88483
-20.0,866,830.658937
-21.0,792,837.779695
-21.0,896,845.75766
-20.0,993,854.679923
-19.0,1048,863.98653
-21.0,904,872.37396
-19.0,1127,882.375469
-20.0,1142,892.713579
-20.0,1245,904.061993
-17.0,1554,918.145845
-20.0,1237,929.4175
-20.0,1305,941.135514
-20.0,995,950.200849
-18.0,1446,963.363359
-20.0,1137,973.671104
-19.0,1209,984.570714
-20.0,1145,994.917825
-17.0,1351,1007.147585
-20.0,1146,1017.479506
-17.0,1582,1031.797778
-16.0,1569,1046.035332
-18.0,1305,1058.070115
-18.0,1533,1072.042625
-18.0,1507,1085.728163
-18.0,1396,1098.378664
-18.0,1450,1111.526699
-14.0,2007,1129.812185
-19.0,1693,1145.295642
-19.0,1384,1157.820407
-20.0,1385,1170.326118
-19.0,1387,1182.905338
-17.0,1769,1198.820467
-18.0,1463,1212.006165
-21.0,1274,1223.634811
-17.0,1544,1237.726203
-17.0,1614,1252.385233
-20.0,1628,1267.057215
-15.0,1785,1283.2798
-20.0,1254,1294.56844
-19.0,1591,1309.077969
-19.0,1504,1322.840079
-16.0,2035,1341.414499
-18.0,1704,1356.917527
-18.0,1312,1368.772644
-18.0,1419,1381.700624
-20.0,1433,1394.716241
-15.0,1668,1410.005645
-19.0,1212,1421.1067
-19.0,1446,1434.239015
-18.0,1680,1449.412937
-16.0,1740,1465.109523
-16.0,2014,1483.284629
-14.0,2461,1505.577428
-16.0,2200,1525.475116
-18.0,1628,1540.321187
-17.0,2067,1558.964148
-17.0,2105,1577.967752
-14.0,2212,1598.158287
-11.0,2309,1619.055743
-12.0,2184,1638.956885
-17.0,1831,1655.577159
-16.0,1629,1670.319318
-19.0,1327,1682.378695
-15.0,1790,1698.672786
-17.0,2041,1717.224823
-10.0,2586,1740.679441
-17.0,1992,1758.75723
-19.0,1717,1774.361525
-14.0,2140,1793.906004
-19.0,1769,1809.82037
-2.0,3363,1840.588585
-13.0,2510,1863.296531
-8.0,2678,1887.715773
-10.0,2682,1912.099902
-17.0,2201,1932.156868
-16.0,2550,1955.194273
-14.0,2383,1977.004095
-11.0,2990,2004.020256
-12.0,2351,2025.472372
-12.0,2373,2046.927871
2.0,3400,2078.078277
5.0,3430,2109.25025
6.0,2824,2134.724379
15.0,2268,2155.339916
13.0,2526,2178.211653
14.0,2165,2197.926494
19.0,1750,2213.751773
11.0,2634,2237.809304
11.0,2645,2261.822927
18.0,1901,2278.967337
19.0,1910,2296.221764
16.0,2190,2315.997723
11.0,2493,2338.808796
21.0,1627,2353.521618
18.0,1812,2369.987232
19.0,1751,2385.816796
18.0,1826,2402.354578
17.0,1993,2420.552779
20.0,1710,2436.122199
20.0,1746,2451.993073
10.0,2390,2473.747982
21.0,1625,2488.462278
20.0,1724,2504.190087
18.0,1872,2521.178086
19.0,1759,2537.149486
6.0,2472,2559.59945
19.0,1763,2575.702459
17.0,1996,2593.817003
20.0,1779,2610.231014
18.0,1813,2626.770454
18.0,1971,2644.647323
19.0,1832,2661.360287
18.0,1825,2677.967962
21.0,1634,2692.963417
20.0,1666,2708.379795
13.0,2158,2727.948255
20.0,1695,2743.343225
20.0,1718,2759.006817
20.0,1666,2774.023779
16.0,1843,2790.840474
3.0,2750,2815.886391
5.0,2421,2837.999933
20.0,1694,2853.288911
19.0,1751,2869.261194
16.0,1971,2887.224983
18.0,1869,2904.153842
17.0,1937,2921.833084
19.0,1781,2938.029729
20.0,1689,2953.328691
19.0,1875,2970.402169
19.0,1735,2986.113423
16.0,1892,3003.306175
19.0,1781,3019.46605
17.0,1895,3036.633777
20.0,1690,3052.152827
19.0,1841,3068.902846
15.0,2083,3087.913626
15.0,1985,3106.021809
20.0,1692,3121.3507
20.0,1705,3136.834625
17.0,1897,3154.224967
18.0,1857,3171.012246
20.0,1669,3186.179551
17.0,1843,3202.88935
20.0,1672,3218.246879
20.0,1699,3233.891452
19.0,1786,3250.125352
18.0,1940,3267.733012
18.0,1909,3285.148637
18.0,1791,3301.350655
20.0,1668,3316.527155
20.0,1669,3331.82066
20.0,1700,3347.283717
16.0,1962,3365.047512
17.0,1855,3381.981937
18.0,1825,3398.648907
19.0,1716,3414.261592
14.0,1959,3432.174026
16.0,1980,3450.067137
20.0,1694,3465.445857
20.0,1665,3480.535159
19.0,1793,3496.706788
15.0,2036,3515.393906
17.0,1893,3532.52957
15.0,1933,3550.103279
18.0,1773,3566.109149
6.0,2875,3592.105012
19.0,1743,3607.98137
15.0,2032,3626.479164
17.0,1815,3642.92525
14.0,2037,3661.455494
20.0,1756,3677.410084
20.0,1664,3692.579984
19.0,1773,3708.678126
17.0,1877,3725.823027
20.0,1664,3740.997138
16.0,2002,3759.263402
20.0,1663,3774.38889
20.0,1661,3789.638854
18.0,1847,3806.526768
13.0,2119,3825.69061
18.0,1830,3842.335123
10.0,2056,3860.953915
7.0,2495,3883.763782
20.0,1694,3899.136638
20.0,1683,3914.470679
20.0,1715,3930.051724
13.0,2081,3948.891594
20.0,1662,3964.173071
20.0,1672,3979.531128
16.0,2056,3998.193033
20.0,1718,4013.786702
17.0,1860,4030.581961
14.0,2181,4050.326155
20.0,1667,4065.609174
20.0,1785,4081.896407
20.0,1689,4097.318666
21.0,1651,4112.3121
19.0,1837,4128.972944
-1.0,2906,4155.574723
15.0,2045,4174.102303
20.0,1656,4189.10876
19.0,1824,4205.778661
13.0,2320,4226.892038
20.0,1814,4243.503511
20.0,1752,4259.299711
17.0,1988,4277.318384
20.0,1748,4293.199709
20.0,1659,4308.320142
9.0,2366,4329.790773
17.0,2089,4348.731244
20.0,1728,4364.414358
20.0,1660,4379.573197
11.0,2130,4398.915853
21.0,1634,4413.849955
20.0,1668,4428.97322
11.0,2417,4450.941199
11.0,2263,4471.525394
21.0,1628,4486.4203
14.0,2120,4505.819112
18.0,1909,4523.222666
20.0,1693,4538.562473
20.0,1664,4553.681774
20.0,1713,4569.283356
14.0,2026,4587.844117
18.0,1918,4605.333345
18.0,2042,4623.778104
19.0,1822,4640.278762
21.0,1632,4655.043798
20.0,1709,4670.784919
20.0,1724,4686.521051
20.0,1692,4701.890688
19.0,1777,4718.050503
18.0,1812,4734.332237
20.0,1725,4749.953774
16.0,2300,4770.832507
21.0,1807,4787.210444
19.0,1788,4803.322644
20.0,1747,4819.270358
16.0,1962,4837.099145
20.0,1820,4853.644712
20.0,1694,4868.998612
19.0,1751,4885.073699
20.0,1741,4900.786298
20.0,1702,4916.235096
19.0,1756,4932.057286
20.0,1668,4947.329407
21.0,1631,4962.145332
15.0,2110,4981.331494
19.0,1793,4997.770719
12.0,2077,5016.688103
20.0,1693,5031.991679
17.0,1796,5048.170309
19.0,1861,5065.016757
12.0,2166,5084.785855
12.0,2088,5103.662332
19.0,1779,5119.857525
17.0,1817,5136.319108
19.0,1874,5153.230255
18.0,1930,5170.798369
17.0,2089,5189.670176
20.0,1660,5204.821282
19.0,1784,5221.100193
20.0,1699,5236.492767
19.0,1780,5252.61375
20.0,1658,5267.570314
19.0,1891,5284.675491
19.0,1738,5300.41924
18.0,1760,5316.402341
19.0,1719,5332.130337
20.0,1659,5347.234142
21.0,1651,5362.247456
18.0,1739,5378.008801
20.0,1666,5393.177358
20.0,1664,5408.288742
19.0,1746,5424.34295
20.0,1703,5439.735666
15.0,2133,5459.224471
15.0,1941,5476.865838
15.0,2231,5497.058833
17.0,1934,5514.636676
19.0,1783,5530.849341
18.0,1947,5548.450643
17.0,1891,5565.568016
19.0,1772,5581.579532
18.0,1960,5599.356312
18.0,1797,5615.798362
21.0,1689,5631.010499
20.0,1661,5646.04622
20.0,1687,5661.366818
21.0,1634,5676.200226
19.0,1814,5692.611189
21.0,1686,5707.904518
20.0,1661,5722.928092
17.0,1873,5739.767694
19.0,1724,5755.498217
20.0,1693,5770.835666
20.0,1760,5787.00395
21.0,1630,5801.749053
20.0,1662,5816.699348
20.0,1661,5831.78701
20.0,1670,5846.890982
17.0,1855,5863.55747
8.0,2185,5883.510247
21.0,1645,5898.522397
19.0,1737,5914.255387
20.0,1692,5929.553898
18.0,1811,5945.961746
20.0,1667,5961.131983
20.0,1730,5976.72642
20.0,1690,5992.102444
17.0,1881,6009.05136
16.0,1949,6026.623141
20.0,1685,6041.86392
21.0,1627,6056.701484
19.0,1754,6072.63884
20.0,1665,6087.778094
20.0,1688,6103.050151
17.0,1833,6119.563167
19.0,1832,6136.133747
21.0,1648,6151.220232
19.0,1840,6167.928042
19.0,1745,6183.584678
16.0,1966,6201.416844
20.0,1719,6217.078109
16.0,2122,6236.479158
16.0,1948,6254.012936
17.0,1965,6271.740513
18.0,1834,6288.455168
19.0,1801,6304.717815
19.0,1818,6321.17158
20.0,1667,6336.247096
19.0,1724,6351.800099
18.0,1902,6369.067485
14.0,2123,6388.148553
14.0,2149,6407.520375
21.0,1690,6422.788622
20.0,1662,6437.816225
20.0,1659,6452.769302
20.0,1759,6468.61891
20.0,1660,6483.707716
19.0,1757,6499.591232
16.0,2047,6518.096916
18.0,1862,6534.91185
20.0,1751,6550.696735
19.0,1811,6567.078876
13.0,2008,6585.298616
20.0,1722,6600.9815
20.0,1814,6617.34378
16.0,2029,6635.65178
14.0,2264,6656.276864
20.0,1692,6671.627136
19.0,1785,6687.821395
19.0,1785,6704.041676
20.0,1689,6719.484457
20.0,1665,6734.577997
20.0,1690,6750.012141
16.0,1947,6767.799341
