# {"t_start": 1548798331.965678, "env_id": "SeaquestNoFrameskip-v4"} 
r,l,t
60.0,443,7.452051
40.0,458,9.924509
160.0,874,14.643566
20.0,320,16.566615
100.0,509,19.354772
100.0,677,23.069125
120.0,625,26.515184
120.0,688,30.324394
220.0,976,35.721008
100.0,541,38.644701
80.0,657,42.277618
140.0,689,46.054066
20.0,442,48.433762
80.0,515,51.27227
60.0,569,54.417752
40.0,454,56.875237
20.0,433,59.225734
20.0,410,61.880241
180.0,725,68.642839
180.0,706,75.188354
20.0,393,78.795976
20.0,433,82.786913
80.0,503,87.397512
180.0,892,95.671192
140.0,874,103.794895
0.0,325,106.76723
80.0,535,111.661071
140.0,714,118.298299
40.0,420,122.124058
60.0,418,125.972934
60.0,600,131.506479
40.0,401,135.164292
260.0,840,142.972982
60.0,486,147.452334
20.0,366,150.82399
0.0,352,154.012043
60.0,523,159.022961
40.0,399,162.680225
100.0,577,167.994912
20.0,389,171.570108
100.0,553,176.634459
60.0,483,181.113125
20.0,366,184.47249
180.0,646,190.471789
40.0,380,193.911913
100.0,456,198.07107
60.0,502,202.690969
80.0,466,206.947064
0.0,290,209.613457
20.0,389,213.228478
80.0,514,217.987962
0.0,357,221.269993
80.0,594,226.791354
80.0,444,230.863775
60.0,445,235.027295
20.0,334,238.100684
60.0,471,242.449057
140.0,625,248.220271
120.0,643,254.182756
180.0,1066,264.159166
180.0,777,271.349111
60.0,419,275.232277
80.0,493,279.753425
60.0,447,283.875607
80.0,536,288.826699
100.0,538,293.792054
280.0,1049,303.527226
100.0,648,309.525498
160.0,677,315.803572
60.0,475,320.153133
300.0,1036,329.762114
20.0,354,333.000566
100.0,580,338.355348
60.0,386,341.910772
140.0,721,348.720687
40.0,386,352.258743
20.0,412,356.064915
0.0,328,359.049869
0.0,357,362.335987
80.0,767,369.414848
0.0,366,372.775161
0.0,413,376.545804
120.0,595,382.067296
0.0,332,385.066126
80.0,482,389.486291
40.0,442,393.461614
60.0,447,397.586051
100.0,477,401.990366
80.0,484,406.465325
40.0,519,411.2397
60.0,461,415.447174
100.0,516,420.218091
40.0,432,424.165662
60.0,486,428.689233
140.0,679,434.99042
40.0,427,438.892021
60.0,467,443.18218
160.0,787,450.483349
0.0,346,453.650821
100.0,578,458.985296
140.0,533,463.881179
160.0,764,470.938767
60.0,408,474.641309
160.0,582,480.012607
20.0,379,483.502568
80.0,517,488.172182
60.0,428,492.098668
80.0,447,496.2027
120.0,543,501.204114
60.0,544,506.191221
80.0,493,510.74533
80.0,635,516.615356
0.0,330,519.588707
60.0,492,524.07747
80.0,453,528.2508
60.0,544,533.247808
60.0,455,537.414895
60.0,431,541.41253
80.0,631,547.250581
40.0,435,551.202431
60.0,455,555.33806
40.0,409,559.07284
40.0,402,562.747714
100.0,760,569.825647
120.0,530,574.644756
60.0,464,578.882506
140.0,617,584.58301
100.0,609,590.16335
120.0,740,596.988269
80.0,484,601.424078
140.0,508,606.092357
160.0,732,612.881726
100.0,459,617.132928
60.0,397,620.794974
20.0,418,624.638486
160.0,734,631.493392
80.0,434,635.514934
140.0,563,640.680385
60.0,417,644.461318
160.0,650,650.396165
100.0,616,656.023083
60.0,474,660.363529
180.0,975,669.390878
40.0,435,673.480757
140.0,632,679.372494
100.0,518,684.218463
100.0,460,688.543684
200.0,909,697.261714
160.0,891,705.796167
100.0,603,711.47896
120.0,599,716.978297
80.0,498,721.663472
60.0,513,726.383693
60.0,566,731.613594
80.0,490,736.118538
40.0,426,739.984876
40.0,423,743.875517
40.0,413,747.675242
60.0,532,752.551719
20.0,414,756.364231
140.0,657,762.380955
160.0,720,769.028481
40.0,418,772.835723
120.0,566,778.108434
20.0,384,781.585445
280.0,1100,791.754544
240.0,1139,801.959691
60.0,452,806.007559
20.0,438,809.855296
80.0,478,814.302541
100.0,599,819.981887
60.0,588,825.535567
120.0,606,831.292123
40.0,431,835.3395
40.0,423,839.358866
120.0,769,846.698393
80.0,468,851.097195
40.0,376,854.634131
100.0,519,859.513649
20.0,401,863.322569
40.0,411,867.141625
100.0,583,872.563279
120.0,537,877.634984
40.0,379,881.149745
60.0,524,886.070608
40.0,420,890.059302
200.0,1016,899.957083
120.0,578,905.499333
40.0,399,909.175189
40.0,380,912.643466
0.0,328,915.648295
140.0,699,922.061509
60.0,430,925.960265
140.0,595,931.423667
20.0,368,934.756632
0.0,333,937.728237
60.0,547,942.689645
60.0,418,946.638016
200.0,730,953.409444
40.0,380,956.873661
0.0,310,959.642969
40.0,410,963.40421
0.0,485,967.857908
100.0,549,972.910988
40.0,489,977.485487
60.0,448,981.523927
60.0,547,986.549326
80.0,586,991.977976
80.0,390,995.705955
120.0,577,1001.255117
80.0,449,1005.476445
60.0,433,1009.552259
80.0,512,1014.262841
60.0,440,1018.301801
40.0,403,1022.038389
20.0,392,1025.614225
0.0,324,1028.631436
140.0,609,1034.340757
0.0,324,1037.31782
200.0,949,1046.304096
80.0,507,1051.038274
20.0,458,1055.297261
120.0,595,1060.882107
40.0,444,1064.997902
80.0,562,1070.240663
100.0,450,1074.304786
20.0,379,1077.788666
20.0,371,1081.156938
20.0,522,1085.994283
60.0,423,1089.857822
80.0,493,1094.437958
40.0,353,1097.616542
0.0,318,1100.56507
100.0,496,1105.124511
60.0,419,1108.833021
80.0,567,1114.073234
100.0,614,1119.785337
200.0,760,1126.83103
60.0,504,1131.482485
40.0,376,1134.924169
80.0,529,1139.811255
40.0,409,1143.579021
80.0,424,1147.445243
40.0,386,1151.031665
40.0,394,1154.629191
320.0,1204,1165.776684
0.0,309,1168.534919
100.0,655,1174.647161
60.0,465,1178.908742
80.0,498,1183.41622
140.0,519,1188.14994
80.0,417,1191.816209
140.0,692,1198.118507
40.0,443,1201.998921
