# {"t_start": 1549017187.4410937, "env_id": "SpaceInvadersNoFrameskip-v4"} 
r,l,t
60.0,425,7.62009
90.0,462,10.135234
110.0,392,12.229307
120.0,438,14.585035
135.0,448,17.113109
110.0,342,18.969645
135.0,470,21.466201
175.0,706,25.228971
375.0,690,28.89902
390.0,670,32.474686
70.0,471,34.948983
85.0,277,36.405576
60.0,299,37.979371
95.0,542,40.883332
160.0,688,44.552632
105.0,383,46.614357
65.0,331,48.386117
170.0,717,52.260576
135.0,526,55.060989
30.0,436,57.426167
135.0,549,60.803616
135.0,461,65.021941
20.0,415,68.856896
340.0,776,75.878187
180.0,583,81.173858
75.0,503,85.720593
60.0,424,89.478285
125.0,553,94.479483
225.0,740,101.092232
110.0,476,105.357978
90.0,398,108.910652
330.0,644,114.706089
255.0,617,120.351873
120.0,527,125.128949
190.0,635,130.911426
180.0,466,135.135531
180.0,545,140.115761
250.0,613,145.75746
260.0,691,152.239927
135.0,552,157.25855
30.0,304,160.036532
230.0,740,166.799368
65.0,353,169.972137
670.0,948,178.564383
110.0,482,182.871849
120.0,466,187.097716
45.0,296,189.763953
180.0,499,194.301115
220.0,681,200.535031
225.0,661,206.57324
60.0,284,209.134739
105.0,445,213.203174
230.0,731,219.923813
95.0,469,224.168851
85.0,371,227.494558
65.0,270,229.953839
105.0,497,234.507321
105.0,347,237.600704
215.0,619,243.173858
180.0,569,248.451972
45.0,293,251.094121
115.0,623,256.72892
60.0,380,260.110598
185.0,560,265.192408
90.0,291,267.803452
110.0,416,271.539614
50.0,373,274.920627
35.0,364,278.194241
75.0,375,281.519889
485.0,762,288.476028
110.0,518,293.097544
155.0,494,297.546124
210.0,582,302.8008
210.0,466,306.987998
385.0,611,312.514647
225.0,538,317.395036
155.0,396,321.019273
110.0,466,325.16601
105.0,565,330.331529
40.0,404,334.000216
35.0,379,337.379897
30.0,335,340.355537
305.0,566,345.490137
185.0,572,350.634198
100.0,362,353.83829
285.0,766,360.78487
125.0,473,365.006117
90.0,294,367.666591
135.0,565,372.778149
65.0,368,376.088359
135.0,572,381.248822
60.0,384,384.692655
120.0,563,389.754701
120.0,446,393.814661
135.0,480,398.129255
130.0,536,402.872023
100.0,357,406.096459
105.0,375,409.436273
60.0,351,412.617958
35.0,409,416.327264
55.0,474,420.631194
245.0,802,427.880641
70.0,365,431.209403
80.0,456,435.27161
110.0,300,437.995618
210.0,577,443.228975
120.0,372,446.542369
110.0,461,450.612033
60.0,462,454.774934
85.0,305,457.509253
230.0,591,462.84982
210.0,466,467.023567
410.0,560,472.094677
80.0,394,475.62475
70.0,365,478.948021
135.0,522,483.653669
75.0,372,486.98041
105.0,380,490.392958
180.0,497,494.829472
110.0,498,499.368932
240.0,660,505.425337
155.0,507,510.018027
120.0,457,514.173499
135.0,496,518.650233
210.0,473,522.939393
135.0,408,526.624166
120.0,500,531.108713
325.0,990,539.977031
155.0,592,545.352401
100.0,340,548.406215
105.0,389,551.946792
290.0,563,557.008762
205.0,618,562.645407
495.0,1142,573.011664
105.0,543,577.893825
115.0,528,582.690645
285.0,649,588.475796
35.0,371,591.857761
150.0,549,596.801183
260.0,728,603.429742
180.0,886,611.464798
215.0,640,617.23347
50.0,282,619.712745
180.0,389,623.168565
125.0,570,628.274732
235.0,632,633.913474
185.0,516,638.481105
135.0,617,644.054435
130.0,524,648.782506
85.0,309,651.567574
65.0,406,655.171316
155.0,567,660.319586
790.0,976,669.153561
135.0,484,673.506626
160.0,567,678.635246
295.0,747,685.391982
65.0,468,689.575654
105.0,511,694.19761
140.0,539,699.111003
75.0,400,702.859455
110.0,476,707.120962
550.0,953,715.662359
145.0,485,719.915389
135.0,427,723.781452
150.0,583,729.100174
430.0,789,736.316571
110.0,421,740.110329
170.0,526,744.876508
170.0,540,749.75773
210.0,718,756.231592
135.0,353,759.423256
215.0,687,765.608766
120.0,559,770.553629
155.0,494,775.033686
195.0,587,780.350513
55.0,300,783.099831
80.0,376,786.494354
240.0,668,792.566483
55.0,324,795.51784
135.0,461,799.702144
105.0,374,803.107145
155.0,652,809.052785
140.0,475,813.314097
180.0,536,818.19566
370.0,603,823.726762
215.0,683,830.057265
230.0,586,835.521287
60.0,290,838.146595
55.0,375,841.589226
60.0,278,844.067328
60.0,303,846.801084
105.0,470,851.12813
210.0,571,856.297051
140.0,527,861.153145
135.0,570,866.305247
210.0,615,871.997071
30.0,302,874.768267
310.0,521,879.513624
10.0,373,882.884837
135.0,549,887.874845
145.0,476,892.171636
370.0,772,899.123199
20.0,441,903.204367
100.0,371,906.612461
125.0,511,911.281393
65.0,340,914.410488
155.0,571,919.563248
110.0,487,924.008389
185.0,488,928.351475
60.0,363,931.625239
30.0,327,934.578006
105.0,521,939.303809
290.0,991,948.312836
150.0,500,952.779834
60.0,340,955.857445
105.0,339,958.862381
135.0,399,962.500765
90.0,471,966.738556
45.0,349,969.904451
345.0,808,977.292671
150.0,542,982.137763
265.0,696,988.427251
35.0,403,992.110149
120.0,444,996.100795
255.0,602,1001.509353
280.0,681,1007.818004
35.0,263,1010.202298
215.0,545,1015.112015
85.0,462,1019.303421
435.0,709,1025.807955
125.0,669,1031.870994
170.0,512,1036.49499
145.0,663,1042.556178
55.0,295,1045.167125
105.0,376,1048.59737
60.0,318,1051.491467
90.0,447,1055.601444
80.0,317,1058.487176
55.0,480,1062.776304
135.0,437,1066.823488
390.0,716,1073.31343
130.0,385,1076.813755
85.0,453,1080.958473
145.0,446,1085.0089
110.0,409,1088.638039
160.0,472,1092.850744
95.0,315,1095.673981
255.0,760,1102.486217
215.0,686,1108.692102
55.0,276,1111.206182
80.0,331,1114.13562
550.0,810,1121.483702
65.0,429,1125.378052
80.0,390,1128.854604
195.0,761,1135.71365
230.0,864,1143.627895
140.0,621,1149.212033
65.0,479,1153.574811
75.0,386,1157.090251
225.0,685,1163.290175
60.0,301,1166.084683
315.0,593,1171.431113
95.0,469,1175.764277
135.0,430,1179.600786
490.0,773,1186.694842
255.0,523,1191.444197
105.0,462,1195.656802
95.0,404,1199.279193
125.0,344,1202.418657
180.0,488,1206.815
245.0,686,1213.115008
265.0,542,1218.05617
195.0,766,1225.010478
120.0,468,1229.329856
210.0,526,1234.138211
140.0,480,1238.50592
160.0,414,1242.200649
210.0,555,1247.249985
80.0,320,1250.132329
80.0,463,1254.444379
105.0,380,1257.834034
295.0,769,1264.930435
105.0,483,1269.307424
190.0,868,1277.173291
315.0,785,1284.327545
45.0,410,1288.073744
175.0,515,1292.878963
225.0,807,1300.198852
60.0,427,1304.035009
215.0,582,1309.366248
255.0,771,1316.356479
315.0,729,1323.001076
135.0,383,1326.496111
205.0,478,1330.860876
145.0,386,1334.352498
120.0,320,1337.301721
245.0,719,1343.845284
45.0,313,1346.718233
215.0,610,1352.31779
65.0,329,1355.357167
75.0,308,1358.164156
155.0,418,1361.977491
155.0,485,1366.355732
290.0,743,1373.049832
200.0,430,1377.049955
110.0,398,1380.6198
15.0,447,1384.746437
300.0,689,1390.985365
110.0,509,1395.588548
165.0,693,1401.882777
45.0,364,1405.221399
80.0,416,1408.921841
35.0,286,1411.5653
35.0,356,1414.770547
150.0,533,1419.62354
175.0,495,1424.097993
380.0,562,1429.205255
80.0,288,1431.729341
215.0,642,1437.465423
95.0,464,1441.656407
30.0,291,1444.287794
345.0,511,1448.887995
240.0,700,1455.352013
300.0,825,1462.769283
110.0,537,1467.668962
155.0,491,1472.198163
75.0,451,1476.33065
115.0,604,1481.737977
145.0,536,1486.685869
135.0,480,1490.974087
135.0,369,1494.373657
200.0,515,1499.097327
160.0,550,1504.178321
190.0,798,1511.396311
420.0,820,1518.873086
135.0,636,1524.588012
345.0,565,1529.705482
110.0,434,1533.610337
140.0,641,1539.515862
320.0,768,1546.451935
185.0,533,1551.281693
20.0,259,1553.582086
220.0,723,1560.160699
55.0,338,1563.179394
155.0,589,1568.498003
140.0,378,1571.926667
225.0,839,1579.54004
215.0,817,1586.969091
190.0,863,1594.794081
145.0,543,1599.654411
280.0,744,1606.282899
270.0,646,1612.192975
365.0,863,1620.093755
120.0,473,1624.374856
20.0,389,1628.070872
105.0,377,1631.536292
460.0,710,1637.974794
300.0,708,1644.35383
120.0,470,1648.647604
340.0,881,1656.596019
195.0,479,1660.956218
65.0,288,1663.632511
255.0,699,1669.961832
345.0,1022,1679.20226
135.0,290,1681.793283
120.0,394,1685.375775
170.0,400,1688.930884
90.0,394,1692.524393
95.0,455,1696.606625
80.0,302,1699.382062
135.0,463,1703.646285
45.0,428,1707.478274
140.0,519,1712.150811
460.0,801,1719.340432
275.0,676,1725.462237
210.0,574,1730.669012
200.0,483,1735.02141
90.0,504,1739.62902
155.0,495,1744.106303
110.0,506,1748.617625
90.0,353,1751.863849
180.0,543,1756.764177
30.0,427,1760.627746
125.0,401,1764.277684
95.0,355,1767.536465
65.0,506,1772.219868
130.0,307,1775.04053
135.0,737,1781.722799
185.0,706,1788.118562
460.0,770,1795.112744
210.0,592,1800.597558
145.0,668,1806.746952
290.0,683,1812.961542
185.0,689,1819.187544
120.0,545,1824.149695
155.0,590,1829.541505
240.0,670,1835.676941
80.0,453,1839.843982
240.0,826,1847.375947
140.0,474,1851.636175
195.0,639,1857.435768
